cust_no,xcoord,ycoord,demand,ready_time,due_date,service_time
1,52,75,10,216,574,90
2,45,70,30,22,565,90
3,62,69,10,1030,1477,90
4,60,66,10,1155,1542,90
5,42,65,10,15,404,90
6,16,42,20,334,831,90
7,58,70,20,965,1353,90
8,34,60,20,2653,3317,90
9,28,70,10,2387,3011,90
10,35,66,10,2628,3149,90
11,35,69,10,2603,2988,90
12,25,85,20,1985,2439,90
13,22,75,30,2310,2691,90
14,22,85,10,1846,2392,90
15,20,80,40,2079,2544,90
16,20,85,40,1765,2291,90
17,18,75,20,2144,2670,90
18,15,75,20,1560,2107,90
19,15,80,10,1689,2168,90
20,30,50,10,0,645,90
21,30,56,20,2677,3327,90
22,28,52,20,13,507,90
23,14,66,10,1521,1949,90
24,25,50,10,24,371,90
25,22,66,40,2380,2819,90
26,8,62,10,1332,1940,90
27,23,52,10,94,488,90
28,4,55,20,1271,1803,90
29,20,50,10,168,793,90
30,20,55,10,171,601,90
31,10,35,20,586,1148,90
32,10,40,30,449,908,90
33,8,40,40,499,1041,90
34,8,45,20,1190,1676,90
35,5,35,10,666,1257,90
36,5,45,10,1076,1604,90
37,2,40,20,774,1344,90
38,0,40,30,890,1410,90
39,0,45,20,1036,1454,90
40,36,18,10,1613,2206,90
41,35,32,10,2599,3106,90
42,33,32,20,2530,2992,90
43,33,35,10,2464,2873,90
44,32,20,10,1746,2262,90
45,30,30,10,1934,2464,90
46,34,25,30,1885,2317,90
47,30,35,10,2348,2799,90
48,36,40,10,2717,3190,90
49,48,20,10,814,1294,90
50,26,32,10,2018,2752,90
51,25,30,10,2015,2571,90
52,25,35,10,2201,2756,90
53,44,5,20,1079,1610,90
54,42,10,40,998,1497,90
55,42,15,10,900,1408,90
56,40,5,30,1199,1677,90
57,38,15,40,1552,2077,90
58,38,5,30,1263,1797,90
59,38,10,10,1500,1941,90
60,35,5,20,1325,1921,90
61,50,30,10,223,743,90
62,50,35,20,18,479,90
63,50,40,50,14,365,90
64,48,30,10,246,904,90
65,44,25,10,705,1207,90
66,47,35,10,393,948,90
67,47,40,10,0,429,90
68,42,30,10,643,1078,90
69,45,35,10,534,991,90
70,95,30,30,2119,2715,90
71,95,35,20,2079,2565,90
72,53,30,10,131,649,90
73,92,30,10,2169,2851,90
74,53,35,50,87,503,90
75,45,65,20,15,609,90
76,90,35,10,2005,2452,90
77,72,45,10,2704,3304,90
78,78,40,20,2602,3207,90
79,87,30,10,2506,2908,90
80,85,25,10,2372,2852,90
81,85,35,30,2564,3041,90
82,75,55,20,1783,2250,90
83,72,55,10,1592,2256,90
84,70,58,20,1515,1950,90
85,86,46,30,1834,2417,90
86,66,55,10,1604,2047,90
87,64,46,20,2977,3326,90
88,65,60,30,1338,1932,90
89,56,64,10,1117,1770,90
90,60,55,10,2792,3334,90
91,60,60,10,1351,1731,90
92,67,85,20,518,1037,90
93,42,58,40,0,511,90
94,65,82,10,550,1195,90
95,62,80,30,745,1188,90
96,62,40,10,2716,3325,90
97,60,85,30,397,964,90
98,58,75,20,841,1289,90
99,55,80,10,274,709,90
100,55,85,20,373,798,90
