cust_no,xcoord,ycoord,demand,ready_time,due_date,service_time
1,41,49,10,711,960,10
2,35,17,7,125,282,10
3,55,45,13,532,662,10
4,55,20,19,682,855,10
5,15,30,26,13,214,10
6,25,30,3,417,553,10
7,20,50,5,334,450,10
8,10,43,9,404,542,10
9,55,60,16,401,559,10
10,30,60,16,581,718,10
11,20,65,12,210,357,10
12,50,35,19,229,387,10
13,30,25,23,691,878,10
14,15,10,20,36,260,10
15,30,5,8,174,313,10
16,10,20,19,273,397,10
17,5,30,2,736,948,10
18,20,40,12,385,488,10
19,15,60,17,271,413,10
20,45,65,9,582,748,10
21,45,20,11,224,351,10
22,45,10,18,410,523,10
23,55,5,29,209,334,10
24,65,35,3,704,905,10
25,65,20,6,818,1014,10
26,45,30,17,588,711,10
27,35,40,16,106,293,10
28,41,37,16,116,295,10
29,64,42,9,195,360,10
30,40,60,21,265,408,10
31,31,52,27,155,304,10
32,35,69,23,663,867,10
33,53,52,11,20,211,10
34,65,55,14,531,686,10
35,63,65,8,691,912,10
36,2,60,5,43,227,10
37,20,20,8,608,739,10
38,5,5,16,306,434,10
39,60,12,31,36,229,10
40,40,25,9,362,460,10
41,42,7,5,397,538,10
42,24,12,5,26,181,10
43,23,3,7,625,749,10
44,11,14,18,233,365,10
45,6,38,16,29,196,10
46,2,48,1,518,696,10
47,8,56,27,89,267,10
48,13,52,36,776,977,10
49,6,68,30,504,604,10
50,47,47,13,548,722,10
51,49,58,10,349,517,10
52,27,43,9,177,334,10
53,37,31,14,417,532,10
54,57,29,18,641,779,10
55,63,23,2,622,795,10
56,53,12,6,588,740,10
57,32,12,7,423,568,10
58,36,26,18,849,1032,10
59,21,24,28,17,236,10
60,17,34,3,724,937,10
61,12,24,13,292,400,10
62,24,58,19,164,339,10
63,27,69,10,41,216,10
64,15,77,9,222,361,10
65,62,77,20,56,206,10
66,49,73,25,595,786,10
67,67,5,25,290,410,10
68,56,39,36,643,857,10
69,37,47,6,165,325,10
70,37,56,5,790,1083,10
71,57,68,15,274,427,10
72,47,16,25,31,209,10
73,44,17,9,311,425,10
74,46,13,8,681,851,10
75,49,11,18,229,351,10
76,49,42,13,290,420,10
77,53,43,14,819,1059,10
78,61,52,3,386,569,10
79,57,48,23,389,533,10
80,56,37,6,840,1027,10
81,55,54,26,413,522,10
82,15,47,16,155,301,10
83,14,37,11,93,255,10
84,11,31,7,441,571,10
85,16,22,41,379,495,10
86,4,18,35,388,495,10
87,28,18,26,426,482,10
88,26,52,9,280,429,10
89,26,35,15,760,1011,10
90,31,67,3,396,533,10
91,15,19,1,745,950,10
92,22,22,2,18,188,10
93,18,24,22,811,1054,10
94,26,27,27,436,543,10
95,25,24,20,77,238,10
96,22,27,11,609,739,10
97,25,21,12,612,720,10
98,19,21,10,186,326,10
99,20,26,9,335,468,10
100,18,18,17,798,1050,10
