cust_no,xcoord,ycoord,demand,ready_time,due_date,service_time
1,101,0,9,1933,2263,10
2,26,50,7,1490,1839,10
3,30,57,20,4,2601,10
4,29,60,14,0,2602,10
5,69,116,26,1,2546,10
6,137,137,27,1,2487,10
7,103,119,18,1278,1564,10
8,78,111,22,50,301,10
9,107,25,13,1036,1348,10
10,17,138,8,4,2487,10
11,37,138,5,3,2487,10
12,20,69,13,0,2586,10
13,121,123,9,5,2502,10
14,22,104,11,0,2550,10
15,137,7,40,7,2519,10
16,50,106,25,1221,1531,10
17,46,112,10,1085,1394,10
18,79,72,22,1,2518,10
19,104,32,18,2,2550,10
20,8,87,17,1548,1886,10
21,109,139,8,392,686,10
22,80,103,15,1434,1742,10
23,78,63,19,0,2520,10
24,95,135,27,3,2508,10
25,37,79,5,0,2616,10
26,64,132,8,0,2492,10
27,133,130,13,0,2497,10
28,39,13,20,4,2506,10
29,120,14,20,0,2517,10
30,10,86,14,0,2565,10
31,140,42,13,4,2525,10
32,121,124,21,0,2501,10
33,42,29,12,1,2499,10
34,44,58,30,3,2613,10
35,32,6,11,320,601,10
36,41,36,13,4,2570,10
37,106,10,13,1,2520,10
38,107,102,12,1,2515,10
39,83,38,22,1849,2190,10
40,132,133,24,2,2495,10
41,81,57,8,19,264,10
42,120,52,20,0,2500,10
43,113,32,36,0,2487,10
44,137,101,12,617,923,10
45,82,103,15,0,2501,10
46,10,111,21,4,2540,10
47,90,44,6,5,2575,10
48,139,73,10,0,2524,10
49,89,24,15,1,2576,10
50,64,138,15,0,2486,10
51,98,4,20,2,2547,10
52,61,34,7,1831,2177,10
53,60,84,23,1,2515,10
54,13,48,15,0,2571,10
55,84,88,16,3,2512,10
56,86,40,22,0,2575,10
57,69,115,20,0,2547,10
58,59,115,26,3,2500,10
59,105,2,1,1,2539,10
60,107,77,34,2,2515,10
61,104,54,13,146,405,10
62,54,33,20,45,295,10
63,32,52,32,1,2594,10
64,37,125,10,0,2498,10
65,99,34,9,1,2556,10
66,38,122,13,876,1153,10
67,85,75,37,2,2515,10
68,109,131,16,3,2507,10
69,103,77,17,1102,1366,10
70,47,83,1,3,2627,10
71,139,68,25,0,2524,10
72,88,29,33,0,2581,10
73,39,100,31,4,2557,10
74,48,47,19,35,289,10
75,104,73,17,0,2516,10
76,9,19,10,1431,1770,10
77,103,44,12,0,2501,10
78,73,96,9,4,2577,10
79,44,116,27,2,2542,10
80,71,70,9,0,2524,10
81,83,12,29,4,2525,10
82,36,54,15,1429,1781,10
83,16,92,10,4,2565,10
84,56,139,18,0,2485,10
85,27,104,1,1,2554,10
86,67,96,26,1909,2229,10
87,34,72,21,4,2613,10
88,120,22,39,396,703,10
89,54,106,9,0,2503,10
90,63,129,7,0,2494,10
91,33,117,20,6,2530,10
92,102,52,15,1,2506,10
93,13,129,25,3,2495,10
94,34,20,15,4,2492,10
95,114,109,16,1,2512,10
96,86,80,21,0,2512,10
97,33,0,20,3,2486,10
98,18,104,18,1287,1610,10
99,70,83,23,3,2597,10
100,12,48,4,3,2570,10
101,139,72,23,1288,1596,10
102,109,78,21,0,2514,10
103,116,22,32,0,2526,10
104,27,46,35,1,2585,10
105,19,120,16,4,2510,10
106,23,39,20,1347,1679,10
107,110,99,21,4,2512,10
108,15,18,10,6,2548,10
109,18,70,26,1504,1854,10
110,16,62,15,2,2585,10
111,61,57,35,0,2619,10
112,123,84,13,3,2509,10
113,37,73,33,0,2617,10
114,115,124,11,0,2505,10
115,93,61,10,3,2512,10
116,89,39,23,0,2572,10
117,65,0,20,4,2507,10
118,108,30,18,324,583,10
119,120,60,18,156,424,10
120,92,22,18,5,2571,10
121,2,106,16,1490,1817,10
122,117,92,25,0,2506,10
123,26,130,20,4,2494,10
124,85,111,25,952,1206,10
125,113,45,4,0,2495,10
126,40,113,23,2,2540,10
127,138,105,24,0,2515,10
128,116,105,23,2,2511,10
129,110,28,20,3,2538,10
130,12,138,14,1038,1326,10
131,66,40,20,0,274,10
132,140,36,1,0,2523,10
133,50,112,18,0,2549,10
134,23,19,16,1,2487,10
135,4,71,19,5,2568,10
136,92,138,12,1,2507,10
137,69,6,8,274,566,10
138,100,99,17,7,2506,10
139,116,13,5,0,2519,10
140,112,13,27,2,2522,10
141,49,140,3,876,1147,10
142,36,124,34,1,2501,10
143,120,47,18,8,2498,10
144,60,54,3,0,2615,10
145,115,82,30,2,2510,10
146,139,110,19,2,2511,10
147,126,23,13,0,2529,10
148,58,80,18,1779,2151,10
149,30,21,12,0,2491,10
150,64,115,15,480,741,10
151,82,100,18,1,2504,10
152,113,35,9,142,401,10
153,35,90,20,3,2563,10
154,58,95,35,2,2512,10
155,117,4,9,2,2532,10
156,97,115,25,1419,1698,10
157,56,129,21,0,2493,10
158,54,41,9,1065,1390,10
159,136,123,31,0,2503,10
160,129,24,18,1280,1597,10
161,46,133,7,2,2491,10
162,58,11,9,449,735,10
163,54,78,11,3,2639,10
164,65,80,20,0,2518,10
165,28,62,23,0,2602,10
166,55,127,17,6,2494,10
167,137,84,41,0,2523,10
168,79,80,4,0,2517,10
169,51,92,9,4,2508,10
170,12,84,16,1,2569,10
171,66,82,27,0,2518,10
172,97,12,10,1,2525,10
173,67,120,5,1387,1681,10
174,55,102,4,2,2506,10
175,90,14,31,1,2527,10
176,20,106,24,1041,1338,10
177,15,4,23,343,619,10
178,138,78,43,0,2524,10
179,60,23,16,4,2486,10
180,29,94,1,2,2559,10
181,70,94,32,1,2580,10
182,4,44,24,4,2559,10
183,66,91,16,0,2586,10
184,119,73,15,411,683,10
185,135,65,3,2,2530,10
186,103,82,27,0,2514,10
187,104,139,29,1282,1571,10
188,15,9,2,5,2479,10
189,5,99,24,2,2547,10
190,36,38,5,1,2570,10
191,125,68,20,3,2502,10
192,44,36,9,134,393,10
193,137,127,28,2,2499,10
194,120,102,18,328,607,10
195,138,24,12,1,2520,10
196,103,86,19,2,2513,10
197,137,96,9,0,2520,10
198,8,138,10,0,2481,10
199,81,36,17,1,2595,10
200,116,83,30,0,2509,10
