cust_no,xcoord,ycoord,demand,ready_time,due_date,service_time
1,25,85,20,49,204,10
2,22,75,30,0,181,10
3,22,85,10,95,165,10
4,20,80,40,69,206,10
5,20,85,20,40,202,10
6,18,75,20,60,172,10
7,15,75,20,54,146,10
8,15,80,10,67,157,10
9,10,35,20,57,161,10
10,10,40,30,106,170,10
11,8,40,40,34,161,10
12,8,45,20,0,153,10
13,5,35,10,55,198,10
14,5,45,10,35,199,10
15,2,40,20,39,168,10
16,0,40,20,41,146,10
17,0,45,20,51,194,10
18,44,5,20,73,148,10
19,42,10,40,40,166,10
20,42,15,10,94,197,10
21,40,5,10,46,179,10
22,40,15,40,64,164,10
23,38,5,30,45,182,10
24,38,15,10,56,209,10
25,35,5,20,45,201,10
26,95,30,30,90,190,10
27,95,35,20,57,193,10
28,92,30,10,55,195,10
29,90,35,10,52,195,10
30,88,30,10,54,168,10
31,88,35,20,50,193,10
32,87,30,10,62,200,10
33,85,25,10,39,196,10
34,85,35,30,83,189,10
35,67,85,20,58,204,10
36,65,85,40,43,205,10
37,65,82,10,96,200,10
38,62,80,30,39,157,10
39,60,80,10,38,215,10
40,60,85,30,61,153,10
41,58,75,20,18,177,10
42,55,80,10,35,195,10
43,55,85,20,100,200,10
44,55,82,10,35,157,10
45,20,82,10,37,205,10
46,18,80,10,71,197,10
47,2,45,10,38,196,10
48,42,5,10,50,202,10
49,42,12,10,100,154,10
50,72,35,30,83,185,10
51,55,20,19,35,161,10
52,25,30,3,25,158,10
53,20,50,5,62,150,10
54,55,60,16,110,224,10
55,30,60,16,95,236,10
56,50,35,19,93,221,10
57,30,25,23,52,175,10
58,15,10,20,54,200,10
59,10,20,19,43,199,10
60,15,60,17,66,225,10
61,45,65,9,43,133,10
62,65,35,3,29,175,10
63,65,20,6,44,202,10
64,45,30,17,0,144,10
65,35,40,16,0,154,10
66,41,37,16,97,217,10
67,64,42,9,31,144,10
68,40,60,21,104,246,10
69,31,52,27,0,141,10
70,35,69,23,33,236,10
71,65,55,14,4,134,10
72,63,65,8,28,222,10
73,2,60,5,48,151,10
74,20,20,8,74,215,10
75,5,5,16,57,180,10
76,60,12,31,51,145,10
77,23,3,7,50,200,10
78,8,56,27,51,174,10
79,6,68,30,68,159,10
80,47,47,13,94,248,10
81,49,58,10,80,134,10
82,27,43,9,0,146,10
83,37,31,14,20,178,10
84,57,29,18,76,165,10
85,63,23,2,60,158,10
86,21,24,28,65,150,10
87,12,24,13,91,128,10
88,24,58,19,28,140,10
89,67,5,25,56,195,10
90,37,47,6,48,150,10
91,49,42,13,89,241,10
92,53,43,14,17,198,10
93,61,52,3,52,226,10
94,57,48,23,77,159,10
95,56,37,6,0,168,10
96,55,54,26,107,202,10
97,4,18,35,105,179,10
98,26,52,9,14,138,10
99,26,35,15,39,148,10
100,31,67,3,48,228,10
