cust_no,xcoord,ycoord,demand,ready_time,due_date,service_time
1,10,86,14,373,522,10
2,16,62,15,382,469,10
3,84,36,10,80,181,10
4,79,72,22,0,80,10
5,16,39,20,75,142,10
6,61,54,10,19,118,10
7,96,26,10,51,183,10
8,16,92,10,341,443,10
9,85,106,20,41,122,10
10,6,25,10,104,212,10
11,37,125,10,313,421,10
12,87,108,20,42,199,10
13,18,104,18,314,424,10
14,61,48,20,28,138,10
15,97,29,30,54,109,10
16,112,67,10,42,170,10
17,50,106,25,299,403,10
18,99,28,30,79,136,10
19,15,9,2,379,500,10
20,19,37,20,112,196,10
21,90,101,10,148,208,10
22,125,68,20,135,327,10
23,127,108,10,126,204,10
24,90,44,6,24,137,10
25,4,23,10,87,208,10
26,17,37,30,95,165,10
27,113,32,36,110,231,10
28,63,57,10,14,68,10
29,94,104,10,94,209,10
30,58,95,35,468,565,10
31,137,96,9,80,213,10
32,127,112,20,95,206,10
33,103,119,18,319,426,10
34,20,69,13,360,458,10
35,2,28,10,79,215,10
36,88,29,33,483,629,10
37,86,102,10,36,164,10
38,126,112,10,83,197,10
39,61,34,7,486,565,10
40,113,69,20,43,134,10
41,109,78,21,198,345,10
42,21,48,10,0,170,10
43,86,36,20,56,157,10
44,97,12,10,162,307,10
45,121,112,20,67,208,10
46,19,39,10,90,242,10
47,66,40,20,33,123,10
48,87,39,20,0,149,10
49,63,50,10,18,105,10
50,121,123,9,215,373,10
51,116,22,32,103,236,10
52,137,101,12,155,233,10
53,137,137,27,96,245,10
54,70,94,32,0,89,10
55,117,92,25,263,361,10
56,122,113,20,67,224,10
57,109,71,20,40,141,10
58,35,102,10,153,256,10
59,91,108,10,43,236,10
60,8,87,17,338,535,10
61,140,42,13,90,174,10
62,16,38,20,83,153,10
63,44,36,9,45,135,10
64,60,84,23,431,594,10
65,109,139,8,79,217,10
66,80,103,15,357,478,10
67,66,82,27,460,604,10
68,99,26,40,65,125,10
69,34,108,10,93,213,10
70,135,65,3,282,475,10
71,36,124,34,199,327,10
72,102,60,30,105,205,10
73,30,21,12,296,415,10
74,139,110,19,161,274,10
75,10,111,21,462,594,10
76,18,70,26,354,486,10
77,4,28,10,106,244,10
78,57,53,10,54,184,10
79,54,41,9,270,344,10
80,107,25,13,263,378,10
81,110,99,21,294,380,10
82,84,88,16,337,431,10
83,101,0,9,456,579,10
84,28,99,10,0,123,10
85,119,114,20,65,181,10
86,118,108,10,147,262,10
87,50,112,18,199,341,10
88,44,116,27,0,155,10
89,82,100,18,62,172,10
90,83,12,29,216,306,10
91,126,23,13,215,396,10
92,85,75,37,17,137,10
93,39,13,20,348,475,10
94,120,136,10,82,224,10
95,105,2,1,190,318,10
96,36,54,15,314,512,10
97,35,90,20,434,538,10
98,111,66,20,41,183,10
99,119,136,30,82,242,10
100,84,99,20,0,117,10
101,137,127,28,176,278,10
102,95,35,10,43,208,10
103,69,6,8,70,170,10
104,1,24,10,82,227,10
105,31,112,20,59,230,10
106,138,78,43,163,323,10
107,100,99,17,270,392,10
108,123,112,20,67,211,10
109,119,130,20,100,265,10
110,92,22,18,189,246,10
111,137,7,40,155,237,10
112,121,124,21,131,213,10
113,34,104,10,112,248,10
114,121,110,30,144,230,10
115,56,139,18,278,375,10
116,106,10,13,248,409,10
117,125,108,20,108,246,10
118,21,115,10,70,177,10
119,110,66,10,109,135,10
120,36,38,5,440,506,10
121,56,129,21,246,368,10
122,4,30,40,144,229,10
123,8,138,10,253,379,10
124,88,35,20,52,142,10
125,116,132,10,148,267,10
126,113,45,4,282,413,10
127,28,107,20,56,134,10
128,115,134,30,78,250,10
129,116,83,30,103,292,10
130,57,59,10,75,211,10
131,89,39,23,36,108,10
132,59,52,20,70,134,10
133,112,71,20,42,165,10
134,35,99,20,165,271,10
135,23,39,20,363,389,10
136,84,39,20,78,208,10
137,19,120,16,266,327,10
138,20,39,10,107,246,10
139,90,104,20,121,210,10
140,66,91,16,0,119,10
141,4,44,24,377,523,10
142,78,63,19,0,164,10
143,92,107,30,43,193,10
144,37,138,5,190,285,10
145,120,14,20,252,350,10
146,33,0,20,453,586,10
147,113,71,10,43,175,10
148,112,13,27,443,592,10
149,41,36,13,44,154,10
150,64,61,20,143,199,10
151,121,134,20,81,237,10
152,103,44,12,0,146,10
153,67,55,10,0,112,10
154,86,80,21,377,464,10
155,64,132,8,34,181,10
156,93,36,20,43,149,10
157,115,124,11,393,500,10
158,103,82,27,319,435,10
159,18,38,30,74,209,10
160,122,131,20,119,219,10
161,107,63,30,103,173,10
162,48,47,19,34,163,10
163,62,58,20,0,103,10
164,0,27,30,82,202,10
165,118,114,10,0,216,10
166,91,95,20,100,289,10
167,113,35,9,60,146,10
168,119,139,20,84,174,10
169,104,54,13,40,173,10
170,15,4,23,88,227,10
171,59,56,20,80,175,10
172,21,44,20,0,202,10
173,100,106,10,73,172,10
174,47,83,1,292,421,10
175,34,72,21,509,647,10
176,32,106,10,93,240,10
177,109,131,20,0,173,10
178,89,24,15,265,394,10
179,97,28,20,49,182,10
180,86,37,10,64,172,10
181,1,34,20,79,275,10
182,103,69,30,0,93,10
183,98,31,20,75,168,10
184,103,34,30,85,186,10
185,13,48,15,381,517,10
186,22,38,20,113,257,10
187,61,59,20,106,206,10
188,94,105,10,94,187,10
189,118,131,20,121,268,10
190,108,30,18,68,179,10
191,36,105,20,113,272,10
192,133,130,13,210,301,10
193,15,18,10,361,498,10
194,103,86,19,235,351,10
195,107,77,34,0,117,10
196,99,34,9,46,160,10
197,17,43,10,61,153,10
198,140,36,1,172,235,10
199,26,105,40,57,186,10
200,60,23,16,52,106,10
