cust_no,xcoord,ycoord,demand,ready_time,due_date,service_time
1,181,172,10,204,610,90
2,154,31,10,648,1048,90
3,123,106,20,595,970,90
4,23,137,20,553,937,90
5,190,28,20,0,522,90
6,8,71,10,568,968,90
7,103,130,20,217,597,90
8,62,50,20,340,735,90
9,89,161,10,167,560,90
10,117,91,20,299,666,90
11,12,156,30,380,780,90
12,88,165,30,75,465,90
13,107,125,10,497,880,90
14,8,74,20,385,785,90
15,105,125,10,589,972,90
16,118,192,30,96,472,90
17,146,11,10,0,495,90
18,93,13,30,380,746,90
19,188,125,10,275,655,90
20,87,117,10,677,1059,90
21,123,31,20,535,918,90
22,121,189,20,480,859,90
23,174,128,20,0,462,90
24,197,80,10,101,476,90
25,151,165,10,480,881,90
26,140,4,10,286,680,90
27,78,184,20,844,1226,90
28,96,150,20,619,1016,90
29,96,147,10,1,413,90
30,149,182,20,570,961,90
31,87,191,10,93,468,90
32,189,151,30,104,499,90
33,99,144,10,0,405,90
34,64,52,20,724,1123,90
35,7,151,20,658,1061,90
36,151,99,10,233,595,90
37,87,118,10,586,968,90
38,179,141,20,93,472,90
39,192,151,10,202,600,90
40,143,0,10,656,1051,90
41,66,58,20,994,1395,90
42,122,14,20,941,1326,90
43,66,52,10,625,1023,90
44,173,55,20,85,477,90
45,119,37,20,723,1109,90
46,199,28,20,486,896,90
47,90,161,10,258,651,90
48,36,193,20,476,878,90
49,159,160,20,0,479,90
50,194,112,10,468,848,90
51,176,173,20,113,509,90
52,117,193,30,94,469,90
53,186,96,20,745,1122,90
54,39,56,10,79,465,90
55,189,120,10,370,751,90
56,29,139,10,89,460,90
57,37,190,10,383,784,90
58,165,117,10,353,726,90
59,16,84,20,648,1039,90
60,187,97,10,658,1040,90
61,10,153,20,196,596,90
62,194,149,20,109,506,90
63,187,112,30,88,462,90
64,103,70,10,2,396,90
65,193,159,20,392,793,90
66,77,115,20,212,583,90
67,190,154,30,295,695,90
68,3,75,10,290,688,90
69,17,93,20,95,468,90
70,151,167,10,214,586,90
71,12,85,10,370,759,90
72,120,11,10,91,467,90
73,140,181,20,112,474,90
74,6,67,10,101,498,90
75,137,4,10,940,1338,90
76,103,124,20,681,1065,90
77,10,67,30,95,492,90
78,48,30,50,89,482,90
79,53,67,20,440,828,90
80,164,113,20,0,437,90
81,47,49,20,638,1035,90
82,187,92,20,184,557,90
83,121,115,20,27,397,90
84,46,51,20,820,1218,90
85,144,189,30,191,578,90
86,180,93,10,941,1321,90
87,152,168,20,103,499,90
88,117,95,10,0,382,90
89,195,25,10,764,1175,90
90,108,168,20,361,734,90
91,149,103,20,600,995,90
92,60,58,20,0,442,90
93,197,79,10,191,567,90
94,39,58,30,0,463,90
95,147,186,30,476,865,90
96,154,163,10,574,976,90
97,96,128,30,0,392,90
98,30,187,10,671,1074,90
99,123,121,20,305,678,90
100,104,68,10,218,621,90
101,102,128,20,137,505,90
102,18,89,10,84,469,90
103,197,77,20,557,935,90
104,156,11,20,947,1353,90
105,144,33,30,0,471,90
106,101,67,20,492,898,90
107,159,121,20,635,1010,90
108,84,192,10,188,566,90
109,139,7,20,103,496,90
110,7,152,10,567,970,90
111,181,147,20,292,672,90
112,104,170,20,70,439,90
113,13,81,30,463,854,90
114,172,57,10,109,474,90
115,80,108,20,0,388,90
116,180,171,20,295,701,90
117,146,3,10,289,687,90
118,123,33,20,443,826,90
119,127,8,20,752,1133,90
120,185,115,20,468,850,90
121,192,113,20,93,469,90
122,194,75,10,743,1122,90
123,135,0,10,844,1241,90
124,157,30,10,556,954,90
125,53,29,30,374,771,90
126,85,110,10,0,385,90
127,182,171,30,387,793,90
128,79,193,30,744,1125,90
129,181,52,10,459,855,90
130,148,103,30,691,1086,90
131,190,109,10,743,1140,90
132,119,188,20,661,1042,90
133,197,140,10,108,497,90
134,162,123,40,541,915,90
135,102,170,40,75,442,90
136,120,198,10,284,660,90
137,175,50,20,745,1144,90
138,23,142,10,367,750,90
139,149,99,20,49,414,90
140,102,174,20,168,538,90
141,30,142,10,0,472,90
142,175,143,20,837,1222,90
143,193,27,10,300,708,90
144,193,82,10,94,469,90
145,103,67,20,309,714,90
146,55,64,30,251,637,90
147,197,25,10,581,991,90
148,42,105,20,343,720,90
149,100,129,30,33,398,90
150,120,115,20,0,395,90
151,183,120,10,90,463,90
152,115,89,20,398,776,90
153,196,27,10,672,1081,90
154,131,38,20,70,451,90
155,145,31,20,82,474,90
156,196,137,20,104,490,90
157,98,150,10,130,528,90
158,159,8,10,944,1346,90
159,15,88,10,184,572,90
160,191,27,10,116,524,90
161,196,111,30,375,754,90
162,150,6,20,474,874,90
163,95,74,20,777,1185,90
164,42,101,10,527,904,90
165,53,59,20,2,451,90
166,193,23,20,858,1270,90
167,40,105,10,251,628,90
168,152,4,20,659,1060,90
169,100,151,10,326,691,90
170,24,140,20,459,843,90
171,87,195,10,373,752,90
172,140,6,30,194,588,90
173,197,113,20,284,662,90
174,40,183,20,102,502,90
175,127,114,20,494,869,90
176,182,46,10,646,1043,90
177,151,190,40,378,766,90
178,8,69,20,660,1060,90
179,44,52,20,173,566,90
180,43,54,10,82,473,90
181,179,174,10,108,513,90
182,13,152,20,102,499,90
183,137,1,10,752,1148,90
184,127,118,20,402,775,90
185,118,92,30,208,575,90
186,129,40,20,81,447,90
187,123,4,10,565,945,90
188,55,24,10,280,674,90
189,41,182,30,115,500,90
190,22,133,10,647,1032,90
191,151,101,20,325,690,90
192,82,194,10,651,1032,90
193,185,124,10,182,561,90
194,180,147,10,380,763,90
195,97,7,20,190,556,90
196,108,165,10,454,827,90
197,47,50,10,729,1126,90
198,93,167,40,72,434,90
199,186,91,10,93,464,90
200,124,6,20,657,1038,90
201,149,167,40,388,787,90
202,125,38,30,165,547,90
203,123,8,10,99,476,90
204,199,76,30,375,752,90
205,194,129,20,573,967,90
206,124,117,30,211,582,90
207,115,4,20,467,847,90
208,105,70,10,94,490,90
209,120,92,20,113,483,90
210,200,136,20,205,594,90
211,14,84,20,556,947,90
212,100,150,10,235,600,90
213,190,112,20,90,465,90
214,146,7,10,105,502,90
215,196,28,20,393,802,90
216,100,6,30,94,458,90
217,118,97,20,2,384,90
218,12,154,10,288,688,90
219,97,162,10,520,914,90
220,196,78,30,648,1027,90
221,172,114,20,0,446,90
222,14,92,30,90,475,90
223,7,142,20,757,1160,90
224,63,55,10,912,1312,90
225,54,30,10,465,863,90
226,141,8,20,100,493,90
227,156,12,20,947,1354,90
228,134,6,20,953,1352,90
229,198,78,20,282,659,90
230,65,53,10,807,1207,90
231,52,28,10,184,577,90
232,125,15,10,849,1232,90
233,199,115,20,191,568,90
234,32,178,10,866,1271,90
235,179,55,30,184,577,90
236,11,151,20,104,503,90
237,99,154,10,419,785,90
238,95,16,20,475,842,90
239,83,197,20,558,938,90
240,27,135,10,836,1225,90
241,102,121,10,865,1297,90
242,179,165,20,577,985,90
243,87,196,30,464,843,90
244,38,190,10,292,693,90
245,183,167,10,481,888,90
246,46,49,20,547,944,90
247,149,5,10,384,783,90
248,84,194,10,280,658,90
249,93,150,10,729,1111,90
250,35,186,10,765,1170,90
251,177,146,10,563,947,90
252,26,147,20,93,472,90
253,21,85,20,743,1135,90
254,195,97,20,467,842,90
