problem_name,vehicle_number,vehicle_capacity,total_customers,total_demand,depot_x,depot_y,duration
C101,25,200,101,1810,40,50,1236
C102,25,200,101,1810,40,50,1236
C103,25,200,101,1810,40,50,1236
C104,25,200,101,1810,40,50,1236
C105,25,200,101,1810,40,50,1236
C106,25,200,101,1810,40,50,1236
C107,25,200,101,1810,40,50,1236
C108,25,200,101,1810,40,50,1236
C109,25,200,101,1810,40,50,1236
C201,25,700,101,1810,40,50,3390
C202,25,700,101,1810,40,50,3390
C203,25,700,101,1810,40,50,3390
C204,25,700,101,1810,40,50,3390
C205,25,700,101,1810,40,50,3390
C206,25,700,101,1810,40,50,3390
C207,25,700,101,1810,40,50,3390
C208,25,700,101,1810,40,50,3390
R101,25,200,101,1458,35,35,230
R102,25,200,101,1458,35,35,230
R103,25,200,101,1458,35,35,230
R104,25,200,101,1458,35,35,230
R105,25,200,101,1458,35,35,230
R106,25,200,101,1458,35,35,230
R107,25,200,101,1458,35,35,230
R108,25,200,101,1458,35,35,230
R109,25,200,101,1458,35,35,230
R110,25,200,101,1458,35,35,230
R111,25,200,101,1458,35,35,230
R112,25,200,101,1458,35,35,230
R201,25,1000,101,1458,35,35,1000
R202,25,1000,101,1458,35,35,1000
R203,25,1000,101,1458,35,35,1000
R204,25,1000,101,1458,35,35,1000
R205,25,1000,101,1458,35,35,1000
R206,25,1000,101,1458,35,35,1000
R207,25,1000,101,1458,35,35,1000
R208,25,1000,101,1458,35,35,1000
R209,25,1000,101,1458,35,35,1000
R210,25,1000,101,1458,35,35,1000
R211,25,1000,101,1458,35,35,1000
RC101,25,200,101,1724,40,50,240
RC102,25,200,101,1724,40,50,240
RC103,25,200,101,1724,40,50,240
RC104,25,200,101,1724,40,50,240
RC105,25,200,101,1724,40,50,240
RC106,25,200,101,1724,40,50,240
RC107,25,200,101,1724,40,50,240
RC108,25,200,101,1724,40,50,240
RC201,25,1000,101,1724,40,50,960
RC202,25,1000,101,1724,40,50,960
RC203,25,1000,101,1724,40,50,960
RC204,25,1000,101,1724,40,50,960
RC205,25,1000,101,1724,40,50,960
RC206,25,1000,101,1724,40,50,960
RC207,25,1000,101,1724,40,50,960
RC208,25,1000,101,1724,40,50,960
