Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,10,145.19,190.0,"[62, 131, 55, 135, 184, 199, 37, 81, 137, 183]"
2,12,125.51,200.0,"[45, 178, 133, 26, 152, 40, 153, 169, 89, 15, 59, 198]"
3,13,115.9,200.0,"[30, 120, 19, 192, 196, 97, 105, 14, 96, 130, 28, 74, 149]"
4,11,134.1,200.0,"[155, 175, 118, 83, 143, 176, 36, 33, 121, 108, 17]"
5,12,179.71,190.0,"[57, 60, 82, 180, 84, 191, 125, 4, 72, 165, 188, 107]"
6,12,148.12,190.0,"[113, 190, 5, 10, 193, 46, 128, 106, 167, 34, 95, 158]"
7,11,107.78,190.0,"[73, 116, 129, 11, 6, 13, 43, 2, 90, 67, 39]"
8,9,174.2,200.0,"[20, 148, 103, 197, 124, 141, 69, 200, 162]"
9,10,178.92,200.0,"[21, 23, 182, 75, 163, 194, 145, 195, 52, 92]"
10,12,113.42,190.0,"[78, 101, 144, 119, 166, 35, 126, 71, 9, 1, 99, 53]"
11,11,103.44,200.0,"[44, 102, 146, 68, 76, 154, 24, 61, 100, 64, 109]"
12,13,180.13,200.0,"[114, 159, 38, 150, 22, 151, 16, 140, 187, 142, 111, 63, 56]"
13,9,122.42,200.0,"[12, 164, 147, 160, 47, 70, 91, 122, 139]"
14,11,194.97,190.0,"[93, 58, 161, 104, 54, 185, 132, 7, 181, 117, 49]"
15,10,212.53,190.0,"[18, 177, 3, 88, 8, 186, 127, 98, 157, 138]"
16,11,204.91,200.0,"[66, 32, 171, 65, 86, 115, 94, 51, 174, 136, 189]"
17,11,95.4,200.0,"[27, 173, 41, 85, 80, 31, 25, 172, 77, 110, 179]"
18,12,151.17,200.0,"[48, 170, 134, 50, 156, 112, 168, 79, 29, 87, 42, 123]"
