Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,11,115.03315,180.0,"[52, 7, 62, 11, 64, 49, 19, 48, 82, 18, 89]"
2,9,107.37299,120.0,"[69, 30, 88, 31, 10, 63, 90, 32, 70]"
3,9,130.61082,158.0,"[26, 21, 39, 23, 67, 55, 4, 25, 54]"
4,11,119.02399,163.0,"[47, 36, 46, 8, 84, 61, 85, 98, 100, 93, 96]"
5,11,113.45179,161.0,"[83, 45, 99, 6, 87, 57, 2, 13, 97, 95, 94]"
6,10,94.83351,146.0,"[27, 76, 3, 79, 78, 34, 35, 81, 77, 28]"
7,7,78.46318,96.0,"[53, 40, 12, 68, 29, 24, 80]"
8,12,104.06521,129.0,"[92, 42, 43, 15, 41, 22, 75, 56, 74, 72, 73, 58]"
9,11,113.31006,176.0,"[59, 37, 91, 44, 14, 38, 86, 16, 17, 5, 60]"
10,9,128.49077,129.0,"[50, 33, 65, 71, 9, 66, 20, 51, 1]"
