Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,12,308.37,195.0,"[63, 44, 50, 66, 25, 116, 11, 49, 28, 27, 61, 75]"
2,11,246.03,186.0,"[196, 13, 20, 163, 100, 6, 189, 177, 127, 77, 108]"
3,10,251.88,200.0,"[158, 26, 123, 21, 165, 69, 134, 156, 172, 197]"
4,10,180.92,186.0,"[55, 67, 150, 137, 68, 80, 64, 109, 182, 91]"
5,11,245.11,195.0,"[132, 120, 51, 143, 113, 146, 121, 32, 138, 111, 105]"
6,10,246.4,181.0,"[168, 92, 48, 139, 187, 124, 181, 103, 101, 154]"
7,7,180.21,104.0,"[157, 93, 199, 135, 175, 56, 9]"
8,9,238.47,116.0,"[72, 147, 153, 166, 33, 144, 186, 179, 190]"
9,10,244.06,155.0,"[112, 152, 99, 62, 194, 142, 159, 102, 10, 198]"
10,12,222.71,190.0,"[106, 85, 94, 12, 19, 178, 23, 22, 47, 82, 74, 45]"
11,8,213.06,176.0,"[149, 81, 161, 2, 8, 76, 17, 200]"
12,11,300.55,175.0,"[7, 41, 36, 5, 133, 195, 160, 180, 167, 70, 107]"
13,8,247.43,190.0,"[1, 115, 16, 162, 171, 122, 170, 78]"
14,10,138.29,170.0,"[87, 145, 35, 60, 38, 84, 90, 83, 52, 24]"
15,10,206.87,186.0,"[140, 57, 173, 104, 95, 58, 29, 96, 174, 97]"
16,12,269.28,196.0,"[4, 188, 15, 54, 89, 125, 114, 39, 37, 164, 65, 43]"
17,10,227.19,186.0,"[155, 18, 14, 176, 31, 185, 169, 53, 192, 42]"
18,11,286.37,180.0,"[73, 30, 34, 98, 136, 118, 88, 183, 40, 128, 59]"
19,9,272.73,158.0,"[117, 3, 86, 131, 130, 79, 126, 148, 119]"
20,9,258.16,188.0,"[46, 184, 71, 193, 151, 129, 141, 191, 110]"
