Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,5,158.03334,60.0,"[28, 33, 85, 89, 91]"
2,6,90.42578,93.0,"[65, 52, 99, 57, 86, 74]"
3,7,85.26543,124.0,"[69, 98, 88, 53, 78, 55, 68]"
4,8,149.17384,133.0,"[27, 29, 31, 30, 34, 26, 32, 93]"
5,8,116.6282,112.0,"[92, 95, 62, 67, 71, 94, 50, 80]"
6,5,97.78853,76.0,"[64, 90, 84, 56, 66]"
7,8,133.24083,178.0,"[72, 36, 38, 41, 40, 43, 37, 35]"
8,8,135.96699,142.0,"[14, 47, 12, 73, 79, 46, 4, 60]"
9,7,119.39322,126.0,"[63, 76, 51, 22, 49, 20, 24]"
10,6,162.69783,110.0,"[59, 75, 87, 97, 58, 77]"
11,7,98.68956,91.0,"[39, 42, 44, 61, 81, 54, 96]"
12,7,112.30184,144.0,"[83, 23, 21, 19, 18, 48, 25]"
13,8,116.7432,169.0,"[82, 11, 15, 16, 9, 10, 13, 17]"
14,10,120.60012,166.0,"[5, 45, 2, 7, 6, 8, 3, 1, 70, 100]"
