Route_ID,Num_Customers,Travel_Distance,Max_Capacity_Used,Customer_Sequence
1,10,124.18,200.0,"[142, 24, 131, 102, 196, 184, 18, 68, 110, 178]"
2,7,97.88,192.0,"[4, 92, 195, 41, 129, 158, 154]"
3,11,112.48,200.0,"[48, 156, 183, 15, 179, 7, 124, 43, 180, 136, 3]"
4,11,243.95,200.0,"[169, 152, 167, 27, 190, 51, 61, 198, 111, 91, 80]"
5,12,233.9,196.0,"[153, 47, 200, 103, 90, 44, 95, 116, 145, 148, 83, 36]"
6,11,175.29,198.0,"[177, 128, 125, 189, 109, 160, 112, 50, 86, 81, 107]"
7,10,93.59,200.0,"[182, 57, 133, 147, 40, 16, 98, 119, 161, 72]"
8,15,268.76,199.0,"[42, 197, 5, 35, 164, 104, 25, 170, 19, 193, 73, 93, 146, 120, 39]"
9,11,243.13,200.0,"[84, 199, 127, 69, 105, 71, 144, 11, 123, 75, 97]"
10,12,223.62,200.0,"[45, 56, 108, 38, 32, 74, 52, 31, 106, 22, 70, 126]"
11,11,137.72,199.0,"[130, 172, 138, 46, 159, 62, 26, 20, 186, 135, 79]"
12,13,198.16,200.0,"[191, 113, 176, 118, 137, 13, 8, 60, 1, 76, 34, 2, 175]"
13,10,97.76,196.0,"[54, 89, 9, 12, 59, 143, 139, 21, 166, 82]"
14,10,190.39,198.0,"[140, 134, 58, 88, 87, 155, 115, 121, 17, 30]"
15,12,103.01,191.0,"[28, 6, 49, 14, 132, 78, 171, 187, 150, 174, 64, 67]"
16,11,175.86,195.0,"[163, 162, 63, 149, 10, 77, 122, 181, 141, 185, 96]"
17,11,221.25,200.0,"[65, 168, 99, 94, 151, 53, 101, 192, 157, 33, 66]"
18,12,153.55,194.0,"[100, 37, 29, 188, 173, 165, 85, 114, 117, 23, 55, 194]"
