cust_no,xcoord,ycoord,demand,ready_time,due_date,service_time
1,52,75,10,234,557,90
2,45,70,30,133,455,90
3,62,69,10,1087,1421,90
4,60,66,10,1182,1516,90
5,42,65,10,15,337,90
6,16,42,20,420,746,90
7,58,70,20,993,1326,90
8,34,60,20,2807,3164,90
9,28,70,10,2523,2876,90
10,35,66,10,2711,3067,90
11,35,69,10,2618,2974,90
12,25,85,20,2039,2386,90
13,22,75,30,2325,2677,90
14,22,85,10,1946,2293,90
15,20,80,40,2138,2486,90
16,20,85,40,1856,2201,90
17,18,75,20,2232,2583,90
18,15,75,20,1662,2006,90
19,15,80,10,1757,2101,90
20,30,50,10,0,330,90
21,30,56,20,2905,3262,90
22,28,52,20,13,334,90
23,14,66,10,1565,1906,90
24,25,50,10,37,359,90
25,22,66,40,2424,2776,90
26,8,62,10,1467,1806,90
27,23,52,10,130,453,90
28,4,55,20,1370,1705,90
29,20,50,10,318,644,90
30,20,55,10,224,549,90
31,10,35,20,702,1033,90
32,10,40,30,514,844,90
33,8,40,40,605,936,90
34,8,45,20,1266,1601,90
35,5,35,10,796,1128,90
36,5,45,10,1173,1508,90
37,2,40,20,893,1226,90
38,0,40,30,983,1318,90
39,0,45,20,1078,1413,90
40,36,18,10,1740,2080,90
41,35,32,10,2678,3026,90
42,33,32,20,2586,2934,90
43,33,35,10,2493,2841,90
44,32,20,10,1834,2175,90
45,30,30,10,2027,2372,90
46,34,25,30,1930,2273,90
47,30,35,10,2400,2748,90
48,36,40,10,2776,3125,90
49,48,20,10,889,1220,90
50,26,32,10,2212,2559,90
51,25,30,10,2120,2467,90
52,25,35,10,2305,2653,90
53,44,5,20,1177,1513,90
54,42,10,40,1080,1416,90
55,42,15,10,988,1321,90
56,40,5,30,1270,1607,90
57,38,15,40,1645,1985,90
58,38,5,30,1362,1699,90
59,38,10,10,1552,1890,90
60,35,5,20,1455,1792,90
61,50,30,10,321,646,90
62,50,35,20,40,365,90
63,50,40,50,14,339,90
64,48,30,10,413,738,90
65,44,25,10,792,1121,90
66,47,35,10,508,834,90
67,47,40,10,0,337,90
68,42,30,10,698,1024,90
69,45,35,10,600,926,90
70,95,30,30,2241,2594,90
71,95,35,20,2146,2499,90
72,53,30,10,228,553,90
73,92,30,10,2334,2687,90
74,53,35,50,133,458,90
75,45,65,20,38,360,90
76,90,35,10,2054,2404,90
77,72,45,10,2823,3186,90
78,78,40,20,2725,3085,90
79,87,30,10,2529,2886,90
80,85,25,10,2436,2789,90
81,85,35,30,2624,2982,90
82,75,55,20,1845,2189,90
83,72,55,10,1753,2096,90
84,70,58,20,1563,1903,90
85,86,46,30,1954,2298,90
86,66,55,10,1656,1996,90
87,64,46,20,2956,3326,90
88,65,60,30,1466,1805,90
89,56,64,10,1276,1612,90
90,60,55,10,2962,3334,90
91,60,60,10,1373,1710,90
92,67,85,20,614,942,90
93,42,58,40,0,330,90
94,65,82,10,709,1037,90
95,62,80,30,802,1132,90
96,62,40,10,2924,3291,90
97,60,85,30,517,845,90
98,58,75,20,900,1231,90
99,55,80,10,329,655,90
100,55,85,20,422,750,90
