cust_no,xcoord,ycoord,demand,ready_time,due_date,service_time
1,41,49,10,153,191,10
2,35,17,7,32,60,10
3,55,45,13,117,138,10
4,55,20,19,149,170,10
5,15,30,26,13,49,10
6,25,30,3,90,116,10
7,20,50,5,82,97,10
8,10,43,9,99,132,10
9,55,60,16,98,115,10
10,30,60,16,115,146,10
11,20,65,12,69,89,10
12,50,35,19,55,77,10
13,30,25,23,163,197,10
14,15,10,20,0,55,10
15,30,5,8,61,85,10
16,10,20,19,75,95,10
17,5,30,2,159,200,10
18,20,40,12,86,109,10
19,15,60,17,78,109,10
20,45,65,9,125,152,10
21,45,20,11,60,75,10
22,45,10,18,97,119,10
23,55,5,29,71,96,10
24,65,35,3,157,180,10
25,65,20,6,173,205,10
26,45,30,17,132,155,10
27,35,40,16,32,47,10
28,41,37,16,32,51,10
29,64,42,9,58,90,10
30,40,60,21,45,86,10
31,31,52,27,32,64,10
32,35,69,23,144,170,10
33,53,52,11,12,58,10
34,65,55,14,119,148,10
35,63,65,8,144,176,10
36,2,60,5,0,68,10
37,20,20,8,135,155,10
38,5,5,16,87,113,10
39,60,12,31,10,69,10
40,40,25,9,76,105,10
41,42,7,5,97,113,10
42,24,12,5,32,51,10
43,23,3,7,133,164,10
44,11,14,18,71,95,10
45,6,38,16,2,45,10
46,2,48,1,120,158,10
47,8,56,27,53,81,10
48,13,52,36,165,199,10
49,6,68,30,107,136,10
50,47,47,13,128,164,10
51,49,58,10,85,105,10
52,27,43,9,40,67,10
53,37,31,14,97,117,10
54,57,29,18,137,163,10
55,63,23,2,134,167,10
56,53,12,6,123,150,10
57,32,12,7,103,129,10
58,36,26,18,195,229,10
59,21,24,28,0,36,10
60,17,34,3,164,192,10
61,12,24,13,68,94,10
62,24,58,19,32,77,10
63,27,69,10,0,52,10
64,15,77,9,65,96,10
65,62,77,20,1,81,10
66,49,73,25,124,150,10
67,67,5,25,83,111,10
68,56,39,36,146,186,10
69,37,47,6,47,62,10
70,37,56,5,183,213,10
71,57,68,15,80,110,10
72,47,16,25,12,54,10
73,44,17,9,78,92,10
74,46,13,8,149,171,10
75,49,11,18,70,90,10
76,49,42,13,65,89,10
77,53,43,14,177,220,10
78,61,52,3,98,125,10
79,57,48,23,92,112,10
80,56,37,6,183,211,10
81,55,54,26,95,129,10
82,15,47,16,45,74,10
83,14,37,11,44,60,10
84,11,31,7,106,128,10
85,16,22,41,92,110,10
86,4,18,35,95,116,10
87,28,18,26,93,119,10
88,26,52,9,72,88,10
89,26,35,15,176,207,10
90,31,67,3,96,119,10
91,15,19,1,160,183,10
92,22,22,2,0,36,10
93,18,24,22,189,210,10
94,26,27,27,100,119,10
95,25,24,20,24,56,10
96,22,27,11,135,154,10
97,25,21,12,137,166,10
98,19,21,10,57,77,10
99,20,26,9,83,101,10
100,18,18,17,185,208,10
