cust_no,xcoord,ycoord,demand,ready_time,due_date,service_time
1,25,85,20,125,207,10
2,22,75,30,1,110,10
3,22,85,10,101,162,10
4,20,80,40,71,212,10
5,20,85,20,42,129,10
6,18,75,20,55,177,10
7,15,75,20,69,131,10
8,15,80,10,56,168,10
9,10,35,20,51,171,10
10,10,40,30,90,188,10
11,8,40,40,0,161,10
12,8,45,20,49,117,10
13,5,35,10,64,202,10
14,5,45,10,35,126,10
15,2,40,20,39,170,10
16,0,40,20,59,123,10
17,0,45,20,60,198,10
18,44,5,20,79,137,10
19,42,10,40,59,126,10
20,42,15,10,111,175,10
21,40,5,10,52,124,10
22,40,15,40,43,167,10
23,38,5,30,47,177,10
24,38,15,10,128,207,10
25,35,5,20,46,192,10
26,95,30,30,105,169,10
27,95,35,20,57,185,10
28,92,30,10,57,135,10
29,90,35,10,52,125,10
30,88,30,10,52,174,10
31,88,35,20,0,123,10
32,87,30,10,116,190,10
33,85,25,10,51,195,10
34,85,35,30,101,168,10
35,67,85,20,62,200,10
36,65,85,40,43,201,10
37,65,82,10,115,178,10
38,62,80,30,0,163,10
39,60,80,10,38,209,10
40,60,85,30,50,161,10
41,58,75,20,50,183,10
42,55,80,10,39,178,10
43,55,85,20,117,180,10
44,55,82,10,35,160,10
45,20,82,10,39,195,10
46,18,80,10,99,176,10
47,2,45,10,38,118,10
48,42,5,10,120,197,10
49,42,12,10,79,171,10
50,72,35,30,108,186,10
51,55,20,19,69,140,10
52,25,30,3,36,105,10
53,20,50,5,59,161,10
54,55,60,16,127,198,10
55,30,60,16,95,236,10
56,50,35,19,100,235,10
57,30,25,23,82,157,10
58,15,10,20,61,200,10
59,10,20,19,43,139,10
60,15,60,17,141,224,10
61,45,65,9,39,111,10
62,65,35,3,29,187,10
63,65,20,6,40,122,10
64,45,30,17,0,144,10
65,35,40,16,0,144,10
66,41,37,16,98,228,10
67,64,42,9,28,165,10
68,40,60,21,103,247,10
69,31,52,27,0,136,10
70,35,69,23,63,236,10
71,65,55,14,53,131,10
72,63,65,8,30,123,10
73,2,60,5,67,132,10
74,20,20,8,75,215,10
75,5,5,16,61,129,10
76,60,12,31,45,160,10
77,23,3,7,53,190,10
78,8,56,27,50,175,10
79,6,68,30,57,170,10
80,47,47,13,98,258,10
81,49,58,10,85,130,10
82,27,43,9,11,93,10
83,37,31,14,20,93,10
84,57,29,18,61,168,10
85,63,23,2,79,139,10
86,21,24,28,80,143,10
87,12,24,13,72,153,10
88,24,58,19,25,143,10
89,67,5,25,109,199,10
90,37,47,6,69,129,10
91,49,42,13,156,246,10
92,53,43,14,0,161,10
93,61,52,3,71,225,10
94,57,48,23,91,147,10
95,56,37,6,22,92,10
96,55,54,26,122,190,10
97,4,18,35,112,170,10
98,26,52,9,26,93,10
99,26,35,15,37,153,10
100,31,67,3,72,236,10
