problem_name,vehicle_number,vehicle_capacity,total_customers,total_demand,depot_x,depot_y,duration
C101,25,200,101,1810,40,50,1250
C102,25,200,101,1810,40,50,1250
C103,25,200,101,1810,40,50,1250
C104,25,200,101,1810,40,50,1250
C105,25,200,101,1810,40,50,1250
C106,25,200,101,1810,40,50,1250
C107,25,200,101,1810,40,50,1250
C108,25,200,101,1810,40,50,1250
C109,25,200,101,1810,40,50,1250
C201,25,700,101,1810,40,50,3446
C202,25,700,101,1810,40,50,3446
C203,25,700,101,1810,40,50,3446
C204,25,700,101,1810,40,50,3446
C205,25,700,101,1810,40,50,3444
C206,25,700,101,1810,40,50,3444
C207,25,700,101,1810,40,50,3444
C208,25,700,101,1810,40,50,3444
R101,25,200,101,1458,35,35,230
R102,25,200,101,1458,35,35,243
R103,25,200,101,1458,35,35,264
R104,25,200,101,1458,35,35,266
R105,25,200,101,1458,35,35,252
R106,25,200,101,1458,35,35,272
R107,25,200,101,1458,35,35,264
R108,25,200,101,1458,35,35,266
R109,25,200,101,1458,35,35,262
R110,25,200,101,1458,35,35,268
R111,25,200,101,1458,35,35,258
R112,25,200,101,1458,35,35,264
R201,25,1000,101,1458,35,35,943
R202,25,1000,101,1458,35,35,1000
R203,25,1000,101,1458,35,35,1025
R204,25,1000,101,1458,35,35,1130
R205,25,1000,101,1458,35,35,936
R206,25,1000,101,1458,35,35,893
R207,25,1000,101,1458,35,35,1098
R208,25,1000,101,1458,35,35,999
R209,25,1000,101,1458,35,35,903
R210,25,1000,101,1458,35,35,941
R211,25,1000,101,1458,35,35,1106
RC101,25,200,101,1724,40,50,278
RC102,25,200,101,1724,40,50,280
RC103,25,200,101,1724,40,50,276
RC104,25,200,101,1724,40,50,270
RC105,25,200,101,1724,40,50,280
RC106,25,200,101,1724,40,50,296
RC107,25,200,101,1724,40,50,266
RC108,25,200,101,1724,40,50,274
RC201,25,1000,101,1724,40,50,934
RC202,25,1000,101,1724,40,50,1066
RC203,25,1000,101,1724,40,50,1054
RC204,25,1000,101,1724,40,50,961
RC205,25,1000,101,1724,40,50,957
RC206,25,1000,101,1724,40,50,957
RC207,25,1000,101,1724,40,50,943
RC208,25,1000,101,1724,40,50,863
