Problem_Name,Number_of_Vehicles,Total_Travel_Distance,Vehicle_Capacity
C101,10,828.93664,200.0
C102,10,828.93664,200.0
C103,10,828.06464,200.0
C104,10,824.77646,200.0
C105,10,828.93664,200.0
C106,10,828.93664,200.0
C107,10,828.93664,200.0
C108,10,828.93664,200.0
C109,10,828.93664,200.0
C201,3,591.55626,700.0
C202,3,591.55626,700.0
C203,3,591.17315,700.0
C204,3,590.59845,700.0
C205,3,588.87566,700.0
C206,3,588.49255,700.0
C207,3,588.28602,700.0
C208,3,588.3235,700.0
R101,19,1650.79864,200.0
R102,17,1486.85859,200.0
R103,13,1292.67493,200.0
R104,9,1007.31005,200.0
R105,14,1377.11046,200.0
R106,12,1252.03013,200.0
R107,10,1104.65547,200.0
R108,9,960.87528,200.0
R109,11,1194.73359,200.0
R110,10,1118.83808,200.0
R111,10,1096.72605,200.0
R112,9,982.13919,200.0
R201,4,1252.37074,1000.0
R202,3,1191.70252,1000.0
R203,3,939.50286,1000.0
R204,2,825.5188,1000.0
R205,3,994.42722,1000.0
R206,3,906.14164,1000.0
R207,2,890.60784,1000.0
R208,2,726.82234,1000.0
R209,3,909.16288,1000.0
R210,3,939.37224,1000.0
R211,2,885.71093,1000.0
RC101,14,1696.94871,200.0
RC102,12,1554.74684,200.0
RC103,11,1261.67143,200.0
RC104,10,1135.47902,200.0
RC105,13,1629.43589,200.0
RC106,11,1424.73327,200.0
RC107,11,1230.47709,200.0
RC108,10,1139.82108,200.0
RC201,4,1406.93961,1000.0
RC202,3,1365.64462,1000.0
RC203,3,1049.62383,1000.0
RC204,3,798.46323,1000.0
RC205,4,1297.64736,1000.0
RC206,3,1146.31689,1000.0
RC207,3,1061.1442,1000.0
RC208,3,828.1411,1000.0
