episode,env_reward,gen_reward
1,1669.96,-1669.96
1,1669.96,-1669.96
1,1669.96,-1669.96
2,1499.96,-1499.96
3,1299.94,-1299.94
4,1299.94,-1299.94
5,1379.94,-1379.94
1,1669.96,-1669.96
1,1669.96,-1669.96
1,-625.14,625.14
1,-625.14,625.14
1,-705.06,705.06
1,-705.06,705.06
1,-705.06,705.06
1,-705.06,705.06
2,1389.49,-1389.49
1,-705.06,705.06
2,1389.49,-1389.49
1,-705.06,705.06
2,1389.49,-1389.49
1,-705.06,705.06
1,1438.370000000001,-1438.370000000001
1,1438.370000000001,-1438.370000000001
